Film,Award,Highest,Shared,Year,MetaCritic
American Sniper,Nominee,No,1,2014,72
Boyhood,Nominee,Yes,1,2014,100
The Grand Budapest Hotel,Nominee,No,3,2014,88
The Imitation Game,Nominee,No,1,2014,73
Selma,Nominee,No,3,2014,88
The Theory of Everything,Nominee,No,1,2014,72
Whiplash,Nominee,No,3,2014,88
Spotlight,Winner,Yes,1,2015,93
The Big Short,Nominee,No,2,2015,81
Bridge of Spies,Nominee,No,2,2015,81
Brooklyn,Nominee,No,1,2015,88
Mad Max: Fury Road,Nominee,No,1,2015,90
The Martian,Nominee,No,1,2015,80
The Revenant,Nominee,No,1,2015,76
Room,Nominee,No,1,2015,86
Moonlight,Winner,Yes,1,2016,99
Arrival,Nominee,No,1,2016,81
Fences,Nominee,No,1,2016,79
Hacksaw Ridge,Nominee,No,1,2016,71
Hell or High Water,Nominee,No,1,2016,88
Hidden Figures,Nominee,No,1,2016,74
La La Land,Nominee,No,1,2016,93
Lion,Nominee,No,1,2016,69
Manchester by the Sea,Nominee,No,1,2016,96
The Shape of Water,Winner,No,1,2017,87
Call Me by Your Name,Nominee,No,1,2017,93
Darkest Hour,Nominee,No,1,2017,75
Dunkirk,Nominee,Yes,2,2017,94
Get Out,Nominee,No,1,2017,84
Lady Bird,Nominee,Yes,2,2017,94
Phantom Thread,Nominee,No,1,2017,90
The Post,Nominee,No,1,2017,83
"Three Billboards Outside Ebbing, Missouri",Nominee,No,1,2017,88
Green Book,Winner,No,1,2018,69
Black Panther,Nominee,No,1,2018,88
BlacKkKlansman,Nominee,No,1,2018,83
Bohemian Rhapsody,Nominee,No,1,2018,49
The Favourite,Nominee,No,1,2018,90
Roma,Nominee,Yes,1,2018,96
A Star Is Born,Nominee,No,1,2018,59
Vice,Nominee,No,1,2018,61
Parasite,Winner,Yes,1,2019,96
1917,Nominee,No,1,2019,78
Ford v Ferrari,Nominee,No,1,2019,81
The Irishman,Nominee,No,2,2019,94
Jojo Rabbit,Nominee,No,1,2019,58
Joker,Nominee,No,1,2019,59
Little Women,Nominee,No,1,2019,91
Marriage Story,Nominee,No,2,2019,94
Once Upon a Time in Hollywood,Nominee,No,1,2019,84
Nomadland,Winner,Yes,1,2020,93
The Father,Nominee,No,1,2020,88
Judas and the Black Messiah,Nominee,No,1,2020,85
Mank,Nominee,No,1,2020,79
Minari,Nominee,No,1,2020,89
Promising Young Woman,Nominee,No,1,2020,73
Sound of Metal,Nominee,No,1,2020,82
The Trial of the Chicago 7,Nominee,No,1,2020,76
