Film,Award,Highest,Shared,Year,MetaCritic
American Sniper,Nominee,No,1,2014,66
Boyhood,Nominee,Yes,1,2014,77
The Grand Budapest Hotel,Nominee,No,3,2014,84
The Imitation Game,Nominee,No,1,2014,81
Selma,Nominee,No,3,2014,72
The Theory of Everything,Nominee,No,1,2014,78
Whiplash,Nominee,No,3,2014,89
Spotlight,Winner,No,1,2015,81
The Big Short,Nominee,No,2,2015,82
Bridge of Spies,Nominee,No,2,2015,76
Brooklyn,Nominee,No,1,2015,79
Mad Max: Fury Road,Nominee,No,1,2015,86
The Martian,Nominee,No,1,2015,80
The Revenant,Nominee,No,1,2015,80
Room,Nominee,No,1,2015,83
Moonlight,Winner,No,1,2016,72
Arrival,Nominee,No,1,2016,81
Fences,Nominee,No,1,2016,73
Hacksaw Ridge,Nominee,No,1,2016,83
Hell or High Water,Nominee,No,1,2016,81
Hidden Figures,Nominee,No,1,2016,74
La La Land,Nominee,No,1,2016,84
Lion,Nominee,No,1,2016,78
Manchester by the Sea,Nominee,No,1,2016,82
The Shape of Water,Winner,No,1,2017,70
Call Me by Your Name,Nominee,No,1,2017,79
Darkest Hour,Nominee,No,1,2017,73
Dunkirk,Nominee,Yes,2,2017,83
Get Out,Nominee,No,1,2017,74
Lady Bird,Nominee,Yes,2,2017,76
Phantom Thread,Nominee,No,1,2017,76
The Post,Nominee,No,1,2017,70
"Three Billboards Outside Ebbing, Missouri",Nominee,No,1,2017,77
Green Book,Winner,No,1,2018,79
Black Panther,Nominee,No,1,2018,64
BlacKkKlansman,Nominee,No,1,2018,74
Bohemian Rhapsody,Nominee,No,1,2018,77
The Favourite,Nominee,No,1,2018,78
Roma,Nominee,Yes,1,2018,80
A Star Is Born,Nominee,No,1,2018,48
Vice,Nominee,No,1,2018,65
Parasite,Winner,No,1,2019,87
1917,Nominee,No,1,2019,84
Ford v Ferrari,Nominee,No,1,2019,83
The Irishman,Nominee,No,2,2019,81
Jojo Rabbit,Nominee,No,1,2019,79
Joker,Nominee,No,1,2019,90
Little Women,Nominee,No,1,2019,75
Marriage Story,Nominee,No,2,2019,84
Once Upon a Time in Hollywood,Nominee,No,1,2019,75
Nomadland,Winner,No,1,2020,72
The Father,Nominee,No,1,2020,86
Judas and the Black Messiah,Nominee,No,1,2020,74
Mank,Nominee,No,1,2020,63
Minari,Nominee,No,1,2020,80
Promising Young Woman,Nominee,No,1,2020,72
Sound of Metal,Nominee,No,1,2020,79
The Trial of the Chicago 7,Nominee,No,1,2020,75
