Film,Award,Highest,Shared,Year,MetaCritic
American Sniper,Nominee,No,1,2014,72
Boyhood,Nominee,Yes,1,2014,97
The Grand Budapest Hotel,Nominee,No,3,2014,91
The Imitation Game,Nominee,No,1,2014,89
Selma,Nominee,No,3,2014,99
The Theory of Everything,Nominee,No,1,2014,80
Whiplash,Nominee,No,3,2014,94
Spotlight,Winner,No,1,2015,97
The Big Short,Nominee,No,2,2015,88
Bridge of Spies,Nominee,No,2,2015,90
Brooklyn,Nominee,No,1,2015,97
Mad Max: Fury Road,Nominee,No,1,2015,97
The Martian,Nominee,No,1,2015,91
The Revenant,Nominee,No,1,2015,78
Room,Nominee,No,1,2015,93
Moonlight,Winner,No,1,2016,98
Arrival,Nominee,No,1,2016,94
Fences,Nominee,No,1,2016,92
Hacksaw Ridge,Nominee,No,1,2016,84
Hell or High Water,Nominee,No,1,2016,97
Hidden Figures,Nominee,No,1,2016,93
La La Land,Nominee,No,1,2016,91
Lion,Nominee,No,1,2016,84
Manchester by the Sea,Nominee,No,1,2016,96
The Shape of Water,Winner,No,1,2017,92
Call Me by Your Name,Nominee,No,1,2017,94
Darkest Hour,Nominee,No,1,2017,84
Dunkirk,Nominee,Yes,2,2017,92
Get Out,Nominee,No,1,2017,98
Lady Bird,Nominee,Yes,2,2017,99
Phantom Thread,Nominee,No,1,2017,91
The Post,Nominee,No,1,2017,88
"Three Billboards Outside Ebbing, Missouri",Nominee,No,1,2017,90
Green Book,Winner,No,1,2018,77
Black Panther,Nominee,No,1,2018,96
BlacKkKlansman,Nominee,No,1,2018,96
Bohemian Rhapsody,Nominee,No,1,2018,60
The Favourite,Nominee,No,1,2018,93
Roma,Nominee,Yes,1,2018,96
A Star Is Born,Nominee,No,1,2018,90
Vice,Nominee,No,1,2018,65
Parasite,Winner,No,1,2019,98
1917,Nominee,No,1,2019,88
Ford v Ferrari,Nominee,No,1,2019,92
The Irishman,Nominee,No,2,2019,96
Jojo Rabbit,Nominee,No,1,2019,80
Joker,Nominee,No,1,2019,68
Little Women,Nominee,No,1,2019,95
Marriage Story,Nominee,No,2,2019,94
Once Upon a Time in Hollywood,Nominee,No,1,2019,85
Nomadland,Winner,No,1,2020,93
The Father,Nominee,No,1,2020,98
Judas and the Black Messiah,Nominee,No,1,2020,97
Mank,Nominee,No,1,2020,83
Minari,Nominee,No,1,2020,98
Promising Young Woman,Nominee,No,1,2020,90
Sound of Metal,Nominee,No,1,2020,97
The Trial of the Chicago 7,Nominee,No,1,2020,89
