,Film,Award,Highest,Shared,Year,MetaCritic
132,Zero Dark Thirty,Nominee,Yes,1,2012,69
133,American Hustle,Nominee,No,2,2013,81
134,Captain Phillips,Nominee,No,1,2013,73
135,Dallas Buyers Club,Nominee,No,1,2013,81
136,Gravity,Nominee,Yes,2,2013,82
137,12 Years a Slave,Winner,No,2,2013,78
138,Her,Nominee,No,2,2013,86
139,Nebraska,Nominee,No,1,2013,80
140,Philomena,Nominee,No,1,2013,79
141,The Wolf of Wall Street,Nominee,No,1,2013,68
142,Birdman or (The Unexpected Virtue of Ignorance),Winner,No,1,2014,82
143,American Sniper,Nominee,No,1,2014,66
144,Boyhood,Nominee,Yes,1,2014,77
145,The Grand Budapest Hotel,Nominee,No,3,2014,84
146,The Imitation Game,Nominee,No,1,2014,81
147,Selma,Nominee,No,3,2014,72
148,The Theory of Everything,Nominee,No,1,2014,78
149,Whiplash,Nominee,No,3,2014,89
150,Spotlight,Winner,No,1,2015,81
151,The Big Short,Nominee,No,2,2015,82
152,Bridge of Spies,Nominee,No,2,2015,76
153,Brooklyn,Nominee,No,1,2015,79
154,Mad Max: Fury Road,Nominee,No,1,2015,86
155,The Martian,Nominee,No,1,2015,80
156,The Revenant,Nominee,No,1,2015,80
157,Room,Nominee,No,1,2015,83
158,Moonlight,Winner,No,1,2016,72
159,Arrival,Nominee,No,1,2016,81
160,Fences,Nominee,No,1,2016,73
161,Hacksaw Ridge,Nominee,No,1,2016,83
162,Hell or High Water,Nominee,No,1,2016,81
163,Hidden Figures,Nominee,No,1,2016,74
164,La La Land,Nominee,No,1,2016,84
165,Lion,Nominee,No,1,2016,78
166,Manchester by the Sea,Nominee,No,1,2016,82
167,The Shape of Water,Winner,No,1,2017,70
168,Call Me by Your Name,Nominee,No,1,2017,79
169,Darkest Hour,Nominee,No,1,2017,73
170,Dunkirk,Nominee,Yes,2,2017,83
171,Get Out,Nominee,No,1,2017,74
172,Lady Bird,Nominee,Yes,2,2017,76
173,Phantom Thread,Nominee,No,1,2017,76
174,The Post,Nominee,No,1,2017,70
175,"Three Billboards Outside Ebbing, Missouri",Nominee,No,1,2017,77
176,Green Book,Winner,No,1,2018,79
177,Black Panther,Nominee,No,1,2018,64
178,BlacKkKlansman,Nominee,No,1,2018,74
179,Bohemian Rhapsody,Nominee,No,1,2018,77
180,The Favourite,Nominee,No,1,2018,78
181,Roma,Nominee,Yes,1,2018,80
182,A Star Is Born,Nominee,No,1,2018,48
183,Vice,Nominee,No,1,2018,65
184,Parasite,Winner,No,1,2019,87
185,1917,Nominee,No,1,2019,84
186,Ford v Ferrari,Nominee,No,1,2019,83
187,The Irishman,Nominee,No,2,2019,81
188,Jojo Rabbit,Nominee,No,1,2019,79
189,Joker,Nominee,No,1,2019,90
190,Little Women,Nominee,No,1,2019,75
191,Marriage Story,Nominee,No,2,2019,84
192,Once Upon a Time in Hollywood,Nominee,No,1,2019,75
193,Nomadland,Winner,No,1,2020,72
194,The Father,Nominee,No,1,2020,86
195,Judas and the Black Messiah,Nominee,No,1,2020,74
196,Mank,Nominee,No,1,2020,63
197,Minari,Nominee,No,1,2020,80
198,Promising Young Woman,Nominee,No,1,2020,72
199,Sound of Metal,Nominee,No,1,2020,79
200,The Trial of the Chicago 7,Nominee,No,1,2020,75
